# N       lin          bin          fib          ter          jump         bin_r        ter_r        
100     4.05e-06     3.026e-06    3.445e-06    2.446e-06    2.074e-06    2.286e-06    2.726e-06    
200     4.764e-06    2.21e-06     2.858e-06    2.663e-06    2.127e-06    2.424e-06    2.851e-06    
300     1.1707e-05   3.109e-06    3.098e-06    2.758e-06    2.017e-06    2.49e-06     2.865e-06    
400     9.158e-06    2.54e-06     3.367e-06    3.031e-06    2.177e-06    2.686e-06    3.108e-06    
500     1.057e-05    2.611e-06    3.885e-06    3.336e-06    2.264e-06    2.767e-06    2.91e-06     
600     9.938e-06    2.334e-06    3.028e-06    2.997e-06    2.326e-06    3.16e-06     4.266e-06    
700     2.1172e-05   3.227e-06    3.135e-06    5.573e-06    2.809e-06    3.096e-06    3.865e-06    
800     1.2561e-05   2.286e-06    3.114e-06    2.932e-06    1.993e-06    2.43e-06     2.922e-06    
900     2.1109e-05   2.937e-06    4.048e-06    2.785e-06    2.044e-06    2.439e-06    1.1861e-05   
1000    2.6604e-05   3.458e-06    4.453e-06    3.677e-06    2.468e-06    3.202e-06    3.814e-06    

